window,tf,bar_seconds,N,M,atr_mult,return,max_dd,n_trades,net_wr,sum_r,pf,fees,calmar,final_balance
2021-2023,1h,3600,15,5,3.0,-0.072961,-0.285169,966,0.332285,48.6352,0.977608,4147.16,-0.255851,9270.39
2021-2023,1h,3600,15,10,1.5,2.021557,-0.318069,871,0.276885,232.0141,1.241303,13664.20,6.355711,30215.57
2021-2023,1h,3600,15,10,2.0,1.219375,-0.300425,786,0.308609,159.4973,1.208879,8108.91,4.058839,22193.75
2021-2023,1h,3600,15,10,2.5,0.511588,-0.281018,756,0.305108,102.3298,1.121947,5080.77,1.820483,15115.88
2021-2023,1h,3600,15,10,3.0,0.259533,-0.282986,734,0.306319,71.2694,1.078114,3708.92,0.917126,12595.33
2021-2023,1h,3600,20,5,1.5,0.801164,-0.288377,912,0.311377,169.5773,1.158765,9233.94,2.778179,18011.64
2021-2023,1h,3600,20,5,2.0,0.290103,-0.253477,875,0.327711,103.6537,1.078496,5988.58,1.144495,12901.03
2021-2023,1h,3600,20,5,2.5,0.005199,-0.288494,858,0.328947,61.2791,1.004729,4486.51,0.018021,10051.99
2021-2023,1h,3600,20,5,3.0,-0.036399,-0.250223,846,0.334135,45.4769,0.989364,3772.94,-0.145465,9636.01
2021-2023,1h,3600,20,10,1.5,1.746863,-0.306894,790,0.284530,206.7306,1.246110,11615.60,5.692066,27468.63
2021-2023,1h,3600,20,10,2.0,1.000543,-0.286539,717,0.313869,139.5805,1.204175,6727.60,3.491824,20005.43
2021-2023,1h,3600,20,10,2.5,0.388908,-0.311733,693,0.313609,86.5047,1.104882,4431.97,1.247568,13889.08
2021-2023,1h,3600,20,10,3.0,0.234550,-0.243309,673,0.313725,64.0997,1.075997,3446.59,0.963998,12345.50
2021-2023,1h,3600,20,15,1.5,2.776887,-0.324608,704,0.250779,241.4786,1.340261,12725.35,8.554590,37768.87
2021-2023,1h,3600,20,15,2.0,1.505304,-0.309402,623,0.278992,161.6238,1.273421,7051.29,4.865199,25053.04
2021-2023,1h,3600,20,15,2.5,0.594083,-0.319528,593,0.282272,98.4680,1.155211,4156.22,1.859249,15940.83
2021-2023,1h,3600,20,15,3.0,0.434804,-0.262822,567,0.293381,76.8368,1.133725,3243.98,1.654364,14348.04
2021-2023,1h,3600,30,5,1.5,0.765338,-0.268493,719,0.292237,143.3829,1.176541,7479.20,2.850491,17653.38
2021-2023,1h,3600,30,5,2.0,0.176596,-0.243701,697,0.305936,77.5810,1.061766,4493.78,0.724643,11765.96
2021-2023,1h,3600,30,5,2.5,0.053321,-0.238369,684,0.316591,52.5911,1.024338,3554.73,0.223691,10533.21
2021-2023,1h,3600,30,5,3.0,-0.041116,-0.215924,677,0.318182,34.3140,0.985820,2906.14,-0.190420,9588.84
2021-2023,1h,3600,30,10,1.5,1.594436,-0.278874,639,0.275214,180.4846,1.271812,9145.16,5.717413,25944.36
2021-2023,1h,3600,30,10,2.0,0.585159,-0.264956,600,0.294533,104.5465,1.151897,4959.49,2.208513,15851.59
2021-2023,1h,3600,30,10,2.5,0.235604,-0.257109,583,0.305357,66.0490,1.078250,3439.07,0.916359,12356.04
2021-2023,1h,3600,30,10,3.0,0.086022,-0.245488,570,0.307554,44.0329,1.035342,2626.94,0.350412,10860.22
2021-2023,1h,3600,30,15,1.5,2.731440,-0.278874,580,0.252809,222.6429,1.377018,10950.58,9.794540,37314.40
2021-2023,1h,3600,30,15,2.0,1.336546,-0.275683,535,0.277559,145.7550,1.279622,5770.86,4.848132,23365.46
2021-2023,1h,3600,30,15,2.5,0.694108,-0.282485,514,0.288306,98.2992,1.190777,3780.98,2.457152,16941.08
